Product Name,SKU,Barcode,Cost Price,Selling Price,Brand,Part No,Source Row
MESH OIL FILTER ASSY_G2,JG571024,JG571024,3.54,5.00,LOCAL,JG571024,97
DOLLAR RUBBER (THICK),LOCAL,LOCAL,0.34,0.50,LOCAL,LOCAL,98
PULLEY GAS CONTROL,24191101,24191101,0.84,1.20,LOCAL,24191101,99
SPRING CLIP,CM191049,CM191049,0.25,0.40,LOCAL,CM191049,100
PULLEY GEAR CONTROL,24191184,24191184,0.84,1.20,LOCAL,24191184,101
SLEEVE SPARK PLUG,AN101181,AN101181,4.21,6.00,LOCAL,AN101181,102
PIN ASSEMBLY PIVOT (FOUNDATION AXLE WITH NUT),AA171011,AA171011,7.58,11.00,LOCAL,AA171011,103
SLIDER BLOCK KIT,,,2.86,4.10,LOCAL,,104
SLIDER BLOCK KIT BS6,,,3.21,5.30,,,105
FUSE BLADE TYPE 10/30 AMP,AK201012,AK201012,0.32,0.50,LOCAL,AK201012,106
BEARING BALL C-CASE MAGN.SIDE 6304,30151059-PABLA-BEARING-BALL-C-CASE-MAGN-SIDE-6304,30151059-PABLA-BEARING-BALL-C-CASE-MAGN-SIDE-6304,10.10,14.60,PABLA,30151059,107
BEARING BALL 20*52*15 2RS 6301,39186420,39186420,5.89,8.50,PABLA,39186420,108
BEARING BALL 6305 2RS,39256120,39256120,15.15,21.70,PABLA,39256120,109
CHOKE CABLE COMP,24191182,24191182,17.51,25.00,LOCAL,24191182,110
SEAL OIL CLUTCH COVER (20X12X 5.5),39104119,39104119,0.93,1.40,LOCAL,39104119,111
S/A BJ 3WH ANTI DIVE FRONT (AB171044),S135100607,S135100607,67.50,97.00,ENDURANCE,S135100607,112
S/A BJ 3WH SPIN RR (PLASTIC) (24171094),S260100807,S260100807,74.33,106.00,ENDURANCE,S260100807,113
MAJOR KIT TMC BJ 3 WH (24151097),3005100101,3005100101,27.34,39.00,ENDURANCE,3005100101,114
TMC ASSY BJ MXMA Z / CMPCT+ FR (24151291),B35401600O,B35401600O,106.80,152.00,ENDURANCE,B35401600O,115
CLUTCH ASSY BJ 3WH 4ST 200 CC MX-CNG (AA101593),1650101701,1650101701,301.27,431.00,ENDURANCE,1650101701,116
F/C BJ 3WH 4ST COMPACT (DI) SET (36AA4025),165FC00375,165FC00375,39.82,57.00,ENDURANCE,165FC00375,117
HOUSING CLUTCH ASSY LPG BJ 4 ST (AA101592),1650200739,1650200739,134.14,191.00,ENDURANCE,1650200739,118
