Product Name,SKU,Category,Cost Price,Selling Price,Stock,Reorder Level,Unit,Active,Description,Barcode
WHEEL RIM 3.00X8,24151285,LOCAL,0,0,58,0,pcs,yes,WHEEL RIM 3.00X8,24151285
ASSLY SHAFT PROPELLER WITHOUT PIN,24101829,LOCAL,0,0,143,0,pcs,yes,ASSLY SHAFT PROPELLER WITHOUT PIN,24101829
STICK DIP CLUTCH COVER,AA101667,LOCAL,0,0,870,0,pcs,yes,STICK DIP CLUTCH COVER,AA101667
ASSLY STEERING COLUMN,AA171027,LOCAL,0,0,43,0,pcs,yes,ASSLY STEERING COLUMN,AA171027
ISOLATOR (2 NAKKA),AF161281,LOCAL,0,0,488,0,pcs,yes,ISOLATOR (2 NAKKA),AF161281
MESH OIL FILTER ASSY_G2,JG571024,LOCAL,0,0,565,0,pcs,yes,MESH OIL FILTER ASSY_G2,JG571024
DOLLAR RUBBER (THICK),LOCAL,LOCAL,0,0,300,0,pcs,yes,DOLLAR RUBBER (THICK),LOCAL
PULLEY GAS CONTROL,24191101,LOCAL,0,0,0,0,pcs,yes,PULLEY GAS CONTROL,24191101
SPRING CLIP,CM191049,LOCAL,0,0,100,0,pcs,yes,SPRING CLIP,CM191049
PULLEY GEAR CONTROL,24191184,LOCAL,0,0,98,0,pcs,yes,PULLEY GEAR CONTROL,24191184
SLEEVE SPARK PLUG,AN101181,LOCAL,0,0,990,0,pcs,yes,SLEEVE SPARK PLUG,AN101181
PIN ASSEMBLY PIVOT (FOUNDATION AXLE WITH NUT),AA171011,LOCAL,0,0,200,0,pcs,yes,PIN ASSEMBLY PIVOT (FOUNDATION AXLE WITH NUT),AA171011
SLIDER BLOCK KIT,,LOCAL,0,0,956,0,pcs,yes,SLIDER BLOCK KIT,
SLIDER BLOCK KIT BS6,,,0,0,420,0,pcs,yes,SLIDER BLOCK KIT BS6,
FUSE BLADE TYPE 10/30 AMP,AK201012,LOCAL,0,0,0,0,pcs,yes,FUSE BLADE TYPE 10/30 AMP,AK201012
BEARING BALL C-CASE MAGN.SIDE 6304,30151059-PABLA-BEARING-BALL-C-CASE-,PABLA,0,0,195,0,pcs,yes,BEARING BALL C-CASE MAGN.SIDE 6304,30151059-PABLA-BEARING-BALL-C-CASE-
BEARING BALL 20*52*15 2RS 6301,39186420,PABLA,0,0,265,0,pcs,yes,BEARING BALL 20*52*15 2RS 6301,39186420
BEARING BALL 6305 2RS,39256120,PABLA,0,0,145,0,pcs,yes,BEARING BALL 6305 2RS,39256120
CHOKE CABLE COMP,24191182,LOCAL,0,0,140,0,pcs,yes,CHOKE CABLE COMP,24191182
SEAL OIL CLUTCH COVER (20X12X 5.5),39104119,LOCAL,0,0,1470,0,pcs,yes,SEAL OIL CLUTCH COVER (20X12X 5.5),39104119
S/A BJ 3WH ANTI DIVE FRONT (AB171044),S135100607,ENDURANCE,0,0,316,0,pcs,yes,S/A BJ 3WH ANTI DIVE FRONT (AB171044),S135100607
S/A BJ 3WH SPIN RR (PLASTIC) (24171094),S260100807,ENDURANCE,0,0,371,0,pcs,yes,S/A BJ 3WH SPIN RR (PLASTIC) (24171094),S260100807
MAJOR KIT TMC BJ 3 WH (24151097),3005100101,ENDURANCE,0,0,215,0,pcs,yes,MAJOR KIT TMC BJ 3 WH (24151097),3005100101
TMC ASSY BJ MXMA Z / CMPCT+ FR (24151291),B35401600O,ENDURANCE,0,0,391,0,pcs,yes,TMC ASSY BJ MXMA Z / CMPCT+ FR (24151291),B35401600O
CLUTCH ASSY BJ 3WH 4ST 200 CC MX-CNG (AA101593),1650101701,ENDURANCE,0,0,274,0,pcs,yes,CLUTCH ASSY BJ 3WH 4ST 200 CC MX-CNG (AA101593),1650101701
F/C BJ 3WH 4ST COMPACT (DI) SET (36AA4025),165FC00375,ENDURANCE,0,0,619,0,pcs,yes,F/C BJ 3WH 4ST COMPACT (DI) SET (36AA4025),165FC00375
HOUSING CLUTCH ASSY LPG BJ 4 ST (AA101592),1650200739,ENDURANCE,0,0,88,0,pcs,yes,HOUSING CLUTCH ASSY LPG BJ 4 ST (AA101592),1650200739
S/A BJ 3WH RR SPIN (METAL),S265100406,ENDURANCE,0,0,392,0,pcs,yes,S/A BJ 3WH RR SPIN (METAL),S265100406
WHEEL CYL ASSY BJ 3WHEEL RR (24151164),2871400201,ENDURANCE,0,0,40,0,pcs,yes,WHEEL CYL ASSY BJ 3WHEEL RR (24151164),2871400201
DURO VALVE WITH SEAL AUTO4 BSVI 36RA03,DURO-AUTO4-RA003S,VARROC,0,0,500,0,pcs,yes,DURO VALVE WITH SEAL AUTO4 BSVI 36RA03,DURO-AUTO4-RA003S
CDI-PETROL FL 2021 (AA111222),AA111222,SWISS-M0569C,0,0,10,0,pcs,yes,CDI-PETROL FL 2021 (AA111222),AA111222
REGULATOR (AF201036),AF201036,SWISS-M0782A,0,0,148,0,pcs,yes,REGULATOR (AF201036),AF201036
SWITCH IGNITION WITH KEY (36AA4028),36AA4028,SWISS-M0431E,0,0,280,0,pcs,yes,SWITCH IGNITION WITH KEY (36AA4028),36AA4028
BOX ASSLY WITH FUSE RE4S (AA201185),AA201185,SWISS-M0030AL,0,0,580,0,pcs,yes,BOX ASSLY WITH FUSE RE4S (AA201185),AA201185
INNER TUBE 400*8,,,0,0,475,0,pcs,yes,INNER TUBE 400*8,
WHEEL CAP 3WH,,,0,0,81,0,pcs,yes,WHEEL CAP 3WH,
VALVE SEAL (39103519),VLSL-AUTO4-3919,VARROC,0,0,9490,0,pcs,yes,VALVE SEAL (39103519),VLSL-AUTO4-3919
"CYL BLOCK ASSLY-LPG,PET 4S BSIV (36AA4105)",CKIT-COMP-3605,VARROC,0,0,132,0,pcs,yes,"CYL BLOCK ASSLY-LPG,PET 4S BSIV (36AA4105)",CKIT-COMP-3605
AXLE REAR AUTO24 N M FROM FEB 08 (24171118),AXLE-AUTO-2418R,VARROC,0,0,165,0,pcs,yes,AXLE REAR AUTO24 N M FROM FEB 08 (24171118),AXLE-AUTO-2418R
AXLE FRONT COMPAQ 24 (24151266),AXLE-COMP-2466,VARROC,0,0,110,0,pcs,yes,AXLE FRONT COMPAQ 24 (24151266),AXLE-COMP-2466
